成交小区,成交价（万元）,成交楼层,单价每平（元）,朝向,成交时间
,,,,,
龙华世纪城 3室2厅 127.23平米,97,中楼层(共33层) 板楼,7585,南|毛坯,2021.04.01
,,,,,
博能信江府 4室2厅 169平米,129,中楼层(共29层) 暂无数据,7627,南|毛坯,2021.04.01
,,,,,
东苑小区 2室2厅 99.63平米,56,高楼层(共9层) 平房,5621,南|简装,2021.04.01
,,,,,
鹏辉中粮广场 4室2厅 104.84平米,110,低楼层(共28层) 塔楼,10493,南|精装,2021.04.01
,,,,,
龙湖一品 3室2厅 127平米,131,高楼层(共17层) 板楼,10315,东南|精装,2021.03.31
,,,,,
嘉怡华府 3室2厅 122.47平米,114,中楼层(共7层) 板楼,9276,南|毛坯,2021.03.31
,,,,,
建亨上东城 3室2厅 121.7平米,87,中楼层(共11层) 板楼,7149,南|毛坯,2021.03.31
,,,,,
信州壹号 3室2厅 124.65平米,100,中楼层(共18层) 板楼,8023,南|毛坯,2021.03.31
,,,,,
万达晶座 1室1厅 34平米,30,低楼层(共29层) 塔楼,8677,南|精装,2021.03.31
,,,,,
万嘉国际花园 2室2厅 90平米,84,低楼层(共11层) 板楼,9334,东南|毛坯,2021.03.31
,,,,,
龙华世纪城 3室2厅 123平米,97,低楼层(共31层) 板塔结合,7854,南|毛坯,2021.03.31
,,,,,
金钰大厦 2室2厅 87.67平米,58,高楼层(共13层) 板塔结合,6571,南|毛坯,2021.03.31
,,,,,
地委大院 3室2厅 109.72平米,109,高楼层(共7层) 板楼,9935,南|简装,2021.03.31
,,,,,
九州奥城 2室2厅 87.7平米,68,高楼层(共7层) 板楼,7754,南|简装,2021.03.31
,,,,,
翰园小区 车位,15,低楼层(共1层) 暂无数据,6548,南|精装,2021.03.31
,,,,,
北園 3室2厅 110平米,63,低楼层(共7层) 板楼,5655,南|毛坯,2021.03.31
,,,,,
樱花半岛 4室2厅 136.9平米,138,中楼层(共18层) 板楼,10081,东南|精装,2021.03.31
,,,,,
晶科滨江1号 3室2厅 127.89平米,116,中楼层(共17层) 暂无数据,9016,南|毛坯,2021.03.31
,,,,,
金龙岗18号 3室1厅 69平米,63,高楼层(共5层) 板楼,9073,南|简装,2021.03.30
,,,,,
亿升滨江花园 2室2厅 89.17平米,103,高楼层(共18层) 板楼,11551,南|毛坯,2021.03.30
,,,,,
五三大道24号 2室1厅 60平米,48,高楼层(共7层) 暂无数据,7950,南|简装,2021.03.30
,,,,,
御景天下 3室2厅 129.02平米,140,低楼层(共17层) 板楼,10852,南北|精装,2021.03.30
,,,,,
地委大院 2室1厅 53.5平米,50,高楼层(共6层) 板楼,9346,南|简装,2021.03.30
,,,,,
友邦·皇家公馆 3室2厅 99.46平米,82,低楼层(共29层) 板楼,8195,南|毛坯,2021.03.30
,,,,,
上层时代 3室2厅 126.67平米,93,高楼层(共12层) 塔楼,7327,南|精装,2021.03.30
,,,,,
供电局宿舍 3室1厅 83.21平米,66,低楼层(共5层) 板楼,7896,南|精装,2021.03.30
,,,,,
紫陽名星廣場 3室2厅 142平米,166,低楼层(共17层) 塔楼,11691,南|精装,2021.03.30
,,,,,
友邦玫瑰公馆 4室2厅 132.02平米,112,中楼层(共33层) 板塔结合,8484,南|毛坯,2021.03.30
,,,,,
永隆城市广场 3室2厅 126.48平米,105,中楼层(共9层) 板楼,8302,东南|精装,2021.03.30
,,,,,
友邦壹号公馆 4室2厅 138平米,160,高楼层(共32层) 板塔结合,11595,南北|毛坯,2021.03.29
,,,,,
帝景湾 3室2厅 119平米,106,高楼层(共17层) 板塔结合,8891,南|毛坯,2021.03.29
,,,,,
汇成·凡尔赛 3室2厅 92平米,104,高楼层(共18层) 暂无数据,11305,南|精装,2021.03.29
,,,,,
江南花园 3室2厅 146.3平米,90,中楼层(共7层) 板楼,6152,东西|毛坯,2021.03.29
,,,,,
万达华府 3室1厅 86.75平米,99,中楼层(共34层) 板楼,11413,南|毛坯,2021.03.29
,,,,,
友邦壹号公馆 3室2厅 105平米,120,低楼层(共31层) 板塔结合,11429,南|毛坯,2021.03.29
,,,,,
万达华府 3室2厅 125.82平米,169,中楼层(共33层) 板楼,13432,南|精装,2021.03.29
,,,,,
庆丰路 3室2厅 97.2平米,89,低楼层(共6层) 暂无数据,9157,南|简装,2021.03.29
,,,,,
友邦玫瑰公馆 3室2厅 124.53平米,97,中楼层(共33层) 板塔结合,7790,南|毛坯,2021.03.29
,,,,,
万达晶座 1室0厅 32平米,30,中楼层(共29层) 塔楼,9157,北|精装,2021.03.29
,,,,,
阳光花城 3室2厅 131.5平米,85,中楼层(共7层) 板楼,6464,南|简装,2021.03.29
,,,,,
龙湖一品 3室2厅 122.48平米,136,高楼层(共6层) 板楼,11104,南|毛坯,2021.03.29
,,,,,
花郡 3室2厅 126平米,120,低楼层(共24层) 板楼,9524,南|毛坯,2021.03.29
,,,,,
万达晶座 3室1厅 93平米,87,中楼层(共31层) 塔楼,9355,东|精装,2021.03.29
,,,,,
万嘉国际花园 3室2厅 143.1平米,118,中楼层(共12层) 板楼,8246,北|简装,2021.03.29
,,,,,
茶山路188号 3室2厅 134平米,100,中楼层(共7层) 暂无数据,7463,南|精装,2021.03.28
,,,,,
友邦壹号公馆 3室2厅 125平米,138,高楼层(共31层) 板塔结合,11040,南|毛坯,2021.03.28
,,,,,
灵山路4号 2室2厅 65平米,48,中楼层(共5层) 暂无数据,7385,南北|简装,2021.03.28
,,,,,
御景天下 4室2厅 143平米,147,中楼层(共25层) 塔楼,10245,南|简装,2021.03.28
,,,,,
万达晶座 1室1厅 35.11平米,28,中楼层(共29层) 塔楼,7975,北|精装,2021.03.28
,,,,,
亿豪星城 3室2厅 110平米,94,高楼层(共28层) 板楼,8546,南北|毛坯,2021.03.28
,,,,,
上饶丽城 3室2厅 88.64平米,95,中楼层(共11层) 板楼,10695,南|精装,2021.03.28
,,,,,
汇丰时代(吉阳路) 3室2厅 120平米,117,高楼层(共23层) 板塔结合,9750,南|精装,2021.03.28
,,,,,
铁路新村3路 3室1厅 48.08平米,50,低楼层(共4层) 板楼,10296,南|简装,2021.03.28
,,,,,
亿升滨江花园 3室2厅 138平米,163,高楼层(共33层) 塔楼,11812,南|精装,2021.03.28
,,,,,
五三小区邮电宿舍 3室2厅 92.82平米,72,高楼层(共7层) 板楼,7757,南|简装,2021.03.28
,,,,,
和锦園 3室2厅 131.92平米,108,高楼层(共11层) 板楼,8187,南|毛坯,2021.03.28
,,,,,
汇成·凡尔赛 3室2厅 92.54平米,90,高楼层(共30层) 板楼,9661,南|毛坯,2021.03.27
,,,,,
公园道1号尊品 3室2厅 132.76平米,128,高楼层(共17层) 板楼,9642,南|毛坯,2021.03.27
,,,,,
汇成·凡尔赛 3室1厅 92平米,86,中楼层(共30层) 板楼,9316,南|毛坯,2021.03.27
,,,,,
富金新世界 2室2厅 82.5平米,57,低楼层(共18层) 塔楼,6885,南|毛坯,2021.03.27
,,,,,
亿升滨江花园 3室2厅 100.55平米,106,中楼层(共30层) 板楼,10493,南|精装,2021.03.27
